Your daily social media interaction2,"Rate your programming skills (Fluency with languages: C/C++/Python/Java etc. )
(Only for CSE, IT, BCA and MCA students)",Rate your physical activity (Dedicated workout session/sports),Your class attendance,Rate your attention during lectures,"How often do you take references from Google, YouTube, library or any other platform to clear your concepts?",Your daily study duration,Study duration during end-sem exams,How often do you clear doubts/topics of your classmates during group study?,Your SGPA 1,Your SGPA 2,Your SGPA 3,Your SGPA 4,,,
0,7,7,55% - 65%,5,8,0,0,4,1,1,1,1,,,
1,7,8,85% - 95%,6,9,1,2,5,1,1,1,1,,,
0,7,8,75% - 85%,3,10,2,0,4,1,1,1,1,,,
0,7,1,65% - 75%,4,8,2,2,9,1,1,1,1,,,
0,5,8,65% - 75%,5,5,1,0,3,2,2,1,1,,,
1,8,8,65% - 75%,5,10,1,0,6,1,1,1,1,,,
1,5,6,75% - 85%,6,9,1,1,6,1,1,1,1,,,
1,8,5,75% - 85%,8,5,0,2,5,1,1,1,1,,,
0,6,5,75% - 85%,6,9,1,1,6,1,0,1,1,,,
1,9,9,75% - 85%,9,9,0,1,9,2,2,2,2,,,
1,5,7,75% - 85%,7,8,2,2,5,1,1,1,1,,,
0,6,2,75% - 85%,4,10,2,1,3,1,0,1,1,,,
1,5,5,75% - 85%,7,7,0,0,4,1,1,1,1,,,
1,6,4,85% - 95%,8,10,3,2,7,1,1,1,1,,,
1,7,7,75% - 85%,6,8,1,1,5,1,1,1,1,,,
0,7,5,85% - 95%,8,8,1,1,7,0,0,0,1,,,
